split,class_name,label,source_type,genus,filename_species,individual_id,museum,position,layer,tooth_type,direction,relative_path
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p1,l1,M1,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p1#l1#M1#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p1,l1,M2,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p1#l1#M2#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p1,l1,M3,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p1#l1#M3#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p2,l1,M1,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p2#l1#M1#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p2,l1,M2,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p2#l1#M2#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p2,l1,M3,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p2#l1#M3#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p3,l1,M2,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p3#l1#M2#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112688,AMNH,p3,l1,M3,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112688/Hoolock#hoolock#AMNH112688#s#v#p3#l1#M3#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112689,AMNH,p1,l1,M1,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112689/Hoolock#hoolock#AMNH112689#s#v#p1#l1#M1#L_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112689,AMNH,p1,l1,M1,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112689/Hoolock#hoolock#AMNH112689#s#v#p1#l1#M1#R_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112692,AMNH,p1,l1,M2,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112692/Hoolock#hoolock#AMNH112692#s#v#p1#l1#M2#R#B_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112692,AMNH,p2,l1,M2,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112692/Hoolock#hoolock#AMNH112692#s#v#p2#l1#M2#R#B_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112692,AMNH,p2,l1,M3,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112692/Hoolock#hoolock#AMNH112692#s#v#p2#l1#M3#R_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112694,AMNH,p1,l1,M1,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112694/Hoolock#hoolock#AMNH112694#s#v#p1#l1#M1#R#B_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112694,AMNH,p1,l1,M2,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112694/Hoolock#hoolock#AMNH112694#s#v#p1#l1#M2#R_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112694,AMNH,p1,l1,M3,R,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112694/Hoolock#hoolock#AMNH112694#s#v#p1#l1#M3#R_style.jpg
train,hoolock,0,museum_style,Hoolock,hoolock,AMNH112694,AMNH,p2,l1,M2,L,train/hoolock/hoolock-AMNH-KIZ-style/AMNH112694/Hoolock#hoolock#AMNH112694#s#v#p2#l1#M2#L_style.jpg
