Result rank,Screening ID,Model,Model ID,Parameters (M),Input size,Accuracy (%),Balanced accuracy (%),Macro-F1 (%),H. hoolock Precision (%),H. hoolock Recall (%),H. hoolock F1 (%),H. leuconedys Precision (%),H. leuconedys Recall (%),H. leuconedys F1 (%),Best epoch,Logical batch size,Physical microbatch,GPU count,Frozen backbone,KIZ011338 correct,KIZ011338 n,MCZ26474 correct,MCZ26474 n,Run directory
1,18,ConvNeXt-Base,convnext_base.fb_in22k_ft_in1k,88.59,224,92.6829268292683,90.14550264550265,91.5521978021978,95.83333333333334,82.14285714285714,88.46153846153845,91.37931034482759,98.14814814814815,94.64285714285714,23,16,16,1,False,2,2,16,16,sam31_e73b33b/screening_18_convnext_base.fb_in22k_ft_in1k
2,10,EfficientNet-X-B5,efficientnet_x_b5.sw_r448_e450_in1k,33.44,448,91.46341463414635,90.07936507936508,90.42535446205171,88.88888888888889,85.71428571428571,87.27272727272727,92.72727272727272,94.44444444444444,93.57798165137615,29,16,16,1,False,2,2,16,16,sam31_e73b33b/screening_10_efficientnet_x_b5.sw_r448_e450_in1k
3,8,EfficientNet-B5,efficientnet_b5.sw_in12k_ft_in1k,30.39,448,89.02439024390245,87.36772486772486,87.68974145120933,85.18518518518519,82.14285714285714,83.63636363636363,90.9090909090909,92.5925925925926,91.74311926605505,42,16,16,1,False,0,2,13,16,sam31_e73b33b/screening_08_efficientnet_b5.sw_in12k_ft_in1k
4,13,EfficientNetV2-S,tf_efficientnetv2_s.in21k_ft_in1k,21.46,300,87.8048780487805,89.02116402116403,87.03352308665401,76.47058823529412,92.85714285714286,83.87096774193549,95.83333333333334,85.18518518518519,90.19607843137256,58,16,16,1,False,0,2,9,16,sam31_e73b33b/screening_13_tf_efficientnetv2_s.in21k_ft_in1k
5,12,EfficientNetV2-B3,tf_efficientnetv2_b3.in1k,14.36,240,87.8048780487805,88.16137566137566,86.85897435897436,78.125,89.28571428571429,83.33333333333334,94.0,87.03703703703704,90.38461538461539,5,16,16,1,False,0,2,14,16,sam31_e73b33b/screening_12_tf_efficientnetv2_b3.in1k
6,24,MobileNetV3-Large,mobilenetv3_large_100.ra_in1k,5.48,224,87.8048780487805,88.16137566137566,86.85897435897436,78.125,89.28571428571429,83.33333333333334,94.0,87.03703703703704,90.38461538461539,50,16,16,1,False,1,2,12,16,sam31_e73b33b/screening_24_mobilenetv3_large_100.ra_in1k
7,3,RegNetY-16GF,regnety_160.sw_in12k_ft_in1k,83.59,224,87.8048780487805,86.44179894179894,86.44179894179894,82.14285714285714,82.14285714285714,82.14285714285714,90.74074074074075,90.74074074074075,90.74074074074075,12,16,16,1,False,0,2,14,16,sam31_e73b33b/screening_03_regnety_160.sw_in12k_ft_in1k
8,9,EfficientNet-B7,tf_efficientnet_b7.ns_jft_in1k,66.35,600,87.8048780487805,85.58201058201058,86.19528619528619,84.61538461538461,78.57142857142857,81.48148148148148,89.28571428571429,92.5925925925926,90.9090909090909,10,16,4,1,False,0,2,16,16,sam31_e73b33b/screening_09_tf_efficientnet_b7.ns_jft_in1k
9,7,EfficientNet-B3,efficientnet_b3.ra2_in1k,12.23,288,86.58536585365853,87.23544973544975,85.64380073213434,75.75757575757575,89.28571428571429,81.9672131147541,93.87755102040816,85.18518518518519,89.32038834951457,14,16,16,1,False,0,2,12,16,sam31_e73b33b/screening_07_efficientnet_b3.ra2_in1k
10,16,EfficientViT-L3,efficientvit_l3.r384_in1k,246.04,384,86.58536585365853,84.65608465608466,84.95412844036699,81.48148148148148,78.57142857142857,80.0,89.0909090909091,90.74074074074075,89.90825688073394,16,16,16,1,False,0,2,16,16,sam31_e73b33b/screening_16_efficientvit_l3.r384_in1k
11,28,MobileViTv2-2.0,mobilevitv2_200.cvnets_in22k_ft_in1k_384,18.45,384,85.36585365853658,86.30952380952381,84.44022770398482,73.52941176470588,89.28571428571429,80.64516129032258,93.75,83.33333333333334,88.23529411764706,30,16,16,1,False,0,2,14,16,sam31_e73b33b/screening_28_mobilevitv2_200.cvnets_in22k_ft_in1k_384
